main_cat,id,names_value,geometry
beauty_salon,445667,Rachels Ink & Boutique / Permanent Cosmetics & Body Art by Rachel,POINT (-98.1062 40.4309)
church_cathedral,316190,St. Luke's Episcopal Church,POINT (-98.39243 40.58568)
professional_services,266037,Quality Contact Solutions,POINT (-98.15501 40.7773)
community_services_non_profits,241897,Sutton Area Chamber of Commerce,POINT (-97.860399 40.605739)
real_estate_agent,240128,Bergen Real Estate and Auctioneers,POINT (-97.859284 40.608086)
landmark_and_historical_building,226691,Deshler Housing Authority,POINT (-97.724097 40.14377)
automotive_repair,215191,"Flightline Repair, LLC",POINT (-98.15404 40.77317)
park,186825,Rader Park,POINT (-98.36617 40.593069)
real_estate,174066,"Marysvilla Rentals, Storage, Inflatables",POINT (-96.6220932 39.8417778)
hospital,169118,Mary Lanning Healthcare,POINT (-98.3880055 40.590792)
dentist,138081,Holton Family Dentistry,POINT (-95.73679 39.46361)
farm,125390,Bohlen Enterprises,POINT (-98.317016 40.534352)
gas_station,121696,Shell,POINT (-98.382112 40.619328)
hotel,120367,Fox Hollow Motel,POINT (-97.852922 40.603248)
insurance_agency,119965,Gill Insurance Service,POINT (-97.17897 40.13673)
public_and_government_association,116554,South Heartland District Health Department,POINT (-98.383032 40.589078)
gym,115929,Ground Up Fitness and Nutrition,POINT (-98.3917 40.60745)
bank_credit_union,115057,Pinnacle Bank,POINT (-98.1056476 40.4309923)
car_dealer,108105,Hoskins Auto Sales,POINT (-98.390113 40.567644)
school,107793,Hastings College Crimson Connection,POINT (-98.37457 40.59068)
