radius,features,time,depth
0.005,9,0.42,5
0.008,29,0.43,5
0.01,119,0.45,5
0.03,1799,2.25,5
0.08,15699,3.41,5
0.1,31459,9.76,5
0.3,126783,31.98,5
0.4,158169,39.1,5
0.8,278941,78.79,5
1,314746,98.45,5
1.2,353157,122.72,5
1.5,435313,177.12,5
1.7,500709,210.03,5
1.8,538749,220.6,5
1.9,567288,253.51,5
2,610310,291.27,5
2.1,661312,322.83,5
2.2,729822,350.52,5
2.3,800599,388.05,5
2.4,857206,387.79,5
2.5,888812,440.77,5
2.6,915850,496.07,5
2.7,947773,524.33,5
2.8,977880,534.02,5
2.9,1004569,546.15,5
3,1038721,575.34,5
3.1,1086346,613.14,5
0.005,9,12.46,4
0.008,29,12.1,4
0.01,119,11.91,4
0.03,1799,14.91,4
0.08,15699,17,4
0.1,31459,23.68,4
0.3,126783,32.17,4
0.4,158169,41.37,4
0.8,278941,59.02,4
1,314746,61.72,4
1.2,353157,73.12,4
1.5,435313,95.41,4
1.7,500709,106.77,4
1.8,538749,115.79,4
1.9,567288,130.3,4
2,610310,137.29,4
2.1,661312,161.55,4
2.2,729822,169.27,4
2.3,800599,179.48,4
2.4,857206,180.95,4
2.5,888812,200.35,4
2.6,915850,203.73,4
2.7,947773,206.15,4
2.8,977880,210.68,4
2.9,1004569,218.73,4
3,1038721,246.25,4
3.1,1086346,237.39,4
